ORI #,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Crime,Murder and Nonegligent Manslaughter,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny-Theft,Motor Vehicle Theft,Manslaughter by Negligence,Arson,Other Assaults,Forgery Counterfeiting,Fraud,Embezzlement,"Stolen Property, Buy, Receive, Possess",Vandalism,"Weapons, Carry, Possess, etc.",Prostitution Commercial Vice,Sex Offenses (Except Rape Prosititution),Drug Abuse Violations Grand Total,(1) Sale/Manufacture Subtotal,(2) Possession Subtotal,Gambling Offenses,Offenses Against Family Children,Driving Under the Influence,Liquor Laws,Drunkenness,Disorderly Conduct,Vagrancy,All Other Offenses (Except Traffic),Suspicion,Curfew Loitering Law Violation,Run-Aways
Total Sum,0,0,0,1,0,1,2,0,0,21,0,0,0,0,2,0,0,0,8,0,8,0,0,0,0,0,0,0,4,0,0,0
ORI #,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
Crime,Murder and Nonegligent Manslaughter,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny-Theft,Motor Vehicle Theft,Manslaughter by Negligence,Arson,Other Assaults,Forgery Counterfeiting,Fraud,Embezzlement,"Stolen Property, Buy, Receive, Possess",Vandalism,"Weapons, Carry, Possess, etc.",Prostitution Commercial Vice,Sex Offenses (Except Rape Prosititution),Drug Abuse Violations Grand Total,(1) Sale/Manufacture Subtotal,(2) Possession Subtotal,Gambling Offenses,Offenses Against Family Children,Driving Under the Influence,Liquor Laws,Drunkenness,Disorderly Conduct,Vagrancy,All Other Offenses (Except Traffic),Suspicion,Curfew Loitering Law Violation,Run-Aways
Total Sum,0,0,1,0,2,18,0,0,0,15,0,1,0,4,9,1,0,3,9,0,9,0,0,0,16,0,3,0,13,0,0,0
ORI #,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
Crime,Murder and Nonegligent Manslaughter,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny-Theft,Motor Vehicle Theft,Manslaughter by Negligence,Arson,Other Assaults,Forgery Counterfeiting,Fraud,Embezzlement,"Stolen Property, Buy, Receive, Possess",Vandalism,"Weapons, Carry, Possess, etc.",Prostitution Commercial Vice,Sex Offenses (Except Rape Prosititution),Drug Abuse Violations Grand Total,(1) Sale/Manufacture Subtotal,(2) Possession Subtotal,Gambling Offenses,Offenses Against Family Children,Driving Under the Influence,Liquor Laws,Drunkenness,Disorderly Conduct,Vagrancy,All Other Offenses (Except Traffic),Suspicion,Curfew Loitering Law Violation,Run-Aways
Total Sum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
ORI #,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Crime,Murder and Nonegligent Manslaughter,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny-Theft,Motor Vehicle Theft,Manslaughter by Negligence,Arson,Other Assaults,Forgery Counterfeiting,Fraud,Embezzlement,"Stolen Property, Buy, Receive, Possess",Vandalism,"Weapons, Carry, Possess, etc.",Prostitution Commercial Vice,Sex Offenses (Except Rape Prosititution),Drug Abuse Violations Grand Total,(1) Sale/Manufacture Subtotal,(2) Possession Subtotal,Gambling Offenses,Offenses Against Family Children,Driving Under the Influence,Liquor Laws,Drunkenness,Disorderly Conduct,Vagrancy,All Other Offenses (Except Traffic),Suspicion,Curfew Loitering Law Violation,Run-Aways
