ORI #,Crime,Male Total,Female Total
100,Murder and Nonegligent Manslaughter,0,0
100,Forcible Rape,0,0
100,Robbery,0,0
100,Aggravated Assault,1,0
100,Burglary,0,0
100,Larceny-Theft,1,0
100,Motor Vehicle Theft,2,0
100,Manslaughter by Negligence,0,0
100,Arson,0,0
100,Other Assaults,12,9
100,Forgery Counterfeiting,0,0
100,Fraud,0,0
100,Embezzlement,0,0
100,"Stolen Property, Buy, Receive, Possess",0,0
100,Vandalism,1,1
100,"Weapons, Carry, Possess, etc.",0,0
100,Prostitution Commercial Vice,0,0
100,Sex Offenses (Except Rape Prosititution),0,0
100,Drug Abuse Violations Grand Total,3,5
100,(1) Sale/Manufacture Subtotal,0,0
100,(2) Possession Subtotal,3,5
100,Gambling Offenses,0,0
100,Offenses Against Family Children,0,0
100,Driving Under the Influence,0,0
100,Liquor Laws,0,0
100,Drunkenness,0,0
100,Disorderly Conduct,0,0
100,Vagrancy,0,0
100,All Other Offenses (Except Traffic),3,1
100,Suspicion,0,0
100,Curfew Loitering Law Violation,0,0
100,Run-Aways,0,0
101,Murder and Nonegligent Manslaughter,0,0
101,Forcible Rape,0,0
101,Robbery,1,0
101,Aggravated Assault,0,0
101,Burglary,2,0
101,Larceny-Theft,14,4
101,Motor Vehicle Theft,0,0
101,Manslaughter by Negligence,0,0
101,Arson,0,0
101,Other Assaults,15,0
101,Forgery Counterfeiting,0,0
101,Fraud,1,0
101,Embezzlement,0,0
101,"Stolen Property, Buy, Receive, Possess",4,0
101,Vandalism,9,0
101,"Weapons, Carry, Possess, etc.",1,0
101,Prostitution Commercial Vice,0,0
101,Sex Offenses (Except Rape Prosititution),3,0
101,Drug Abuse Violations Grand Total,7,2
101,(1) Sale/Manufacture Subtotal,0,0
101,(2) Possession Subtotal,7,2
101,Gambling Offenses,0,0
101,Offenses Against Family Children,0,0
101,Driving Under the Influence,0,0
101,Liquor Laws,8,8
101,Drunkenness,0,0
101,Disorderly Conduct,3,0
101,Vagrancy,0,0
101,All Other Offenses (Except Traffic),12,1
101,Suspicion,0,0
101,Curfew Loitering Law Violation,0,0
101,Run-Aways,0,0
102,Murder and Nonegligent Manslaughter,0,0
102,Forcible Rape,0,0
102,Robbery,0,0
102,Aggravated Assault,0,0
102,Burglary,0,0
102,Larceny-Theft,0,0
102,Motor Vehicle Theft,0,0
102,Manslaughter by Negligence,0,0
102,Arson,0,0
102,Other Assaults,0,0
102,Forgery Counterfeiting,0,0
102,Fraud,0,0
102,Embezzlement,0,0
102,"Stolen Property, Buy, Receive, Possess",0,0
102,Vandalism,0,0
102,"Weapons, Carry, Possess, etc.",0,0
102,Prostitution Commercial Vice,0,0
102,Sex Offenses (Except Rape Prosititution),0,1
102,Drug Abuse Violations Grand Total,0,0
102,(1) Sale/Manufacture Subtotal,0,0
102,(2) Possession Subtotal,0,0
102,Gambling Offenses,0,0
102,Offenses Against Family Children,0,0
102,Driving Under the Influence,0,0
102,Liquor Laws,1,3
102,Drunkenness,0,0
102,Disorderly Conduct,0,0
102,Vagrancy,0,0
102,All Other Offenses (Except Traffic),0,0
102,Suspicion,0,0
102,Curfew Loitering Law Violation,0,0
102,Run-Aways,0,0
200,Murder and Nonegligent Manslaughter,0,0
200,Forcible Rape,0,0
200,Robbery,0,0
200,Aggravated Assault,0,0
200,Burglary,0,0
200,Larceny-Theft,0,0
200,Motor Vehicle Theft,0,0
200,Manslaughter by Negligence,0,0
200,Arson,0,0
200,Other Assaults,0,1
200,Forgery Counterfeiting,0,0
200,Fraud,0,0
200,Embezzlement,0,0
200,"Stolen Property, Buy, Receive, Possess",0,0
200,Vandalism,0,0
200,"Weapons, Carry, Possess, etc.",0,0
200,Prostitution Commercial Vice,0,0
200,Sex Offenses (Except Rape Prosititution),0,0
200,Drug Abuse Violations Grand Total,0,0
200,(1) Sale/Manufacture Subtotal,0,0
200,(2) Possession Subtotal,0,0
200,Gambling Offenses,0,0
200,Offenses Against Family Children,0,0
200,Driving Under the Influence,0,0
200,Liquor Laws,0,0
