Year,County_Desc,Manslaughter,Rape,Robbery,Aggravated-Assault,Burglary,Larceny-Theft,Motor-Vehicle-Theft,Arson,Other-Assaults,Forgery-Counterfeiting,Fraud,Embezzlement,Stolen-Property,Vandalism,Weapons,Prostitution,Sex-Offenses,Drug-Abuse-Violations,Drug-Abuse-Violations-Possession,Gambling-Offenses,Offenses-Against-Family-Children,Driving-Under-the-Influence,Liquor-Laws,Drunkenness,Disorderly-Conduct,All-Other-Offenses-Except-Traffic,Suspicion,Curfew-Loitering-Law-Violations,Run-a-ways,Vagrancy
2010,Albany,0,0,0,2,2,8,1,0,21,0,3,0,0,12,0,0,0,0,22,0,0,5,28,0,1,33,0,5,0,0
2011,Albany,0,0,0,1,2,21,1,2,13,0,0,0,0,1,1,0,0,0,13,0,0,4,21,0,1,29,0,0,0,0
2012,Albany,0,0,0,0,5,14,1,0,25,0,0,0,0,6,0,0,1,0,28,0,0,1,30,1,0,11,0,3,0,0
2013,Albany,0,0,0,0,0,31,2,0,23,0,1,0,0,7,0,0,0,0,15,0,0,3,21,0,0,12,0,0,1,1
2014,Albany,0,0,1,1,5,30,0,0,58,0,0,0,0,14,0,0,1,0,15,0,0,0,22,0,2,28,0,0,0,0
2015,Albany,0,0,0,1,0,27,1,0,40,0,0,0,0,11,0,0,0,0,20,0,0,5,20,0,1,36,0,0,0,0
2010,Big Horn,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,5,0,3,1,0
2011,Big Horn,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2012,Big Horn,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,Big Horn,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Big Horn,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0
2015,Big Horn,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2010,Campbell,0,0,0,4,3,87,1,0,132,1,1,0,0,28,4,0,1,2,32,0,1,3,79,1,52,211,0,12,9,0
2011,Campbell,0,0,0,5,2,75,0,1,85,0,0,0,0,37,0,0,1,2,55,0,1,5,80,0,45,173,0,0,10,0
2012,Campbell,0,0,0,1,5,98,0,1,87,0,1,0,0,34,1,0,3,1,54,0,1,4,50,0,21,159,0,0,10,0
