Offense,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
All crimes*,6798.5,5524.0,5825.0,5067.9,5059.7,5818.8,5631.7,6129.8,6395.0,6623.1,6576.5,6507.5,6407.9,7049.0,7639.1,8119.7,8423.9,8318.2,6562.5,6344.1,5687.2,5028.3,5265.9,4935.4,4630.0,4683.6,4397.1,4307.4,3826.5,3677.3,3348.2,3296.6,3052.8,2681.3,2371,2606.1,2407.1
Violent Crime Index**,204.9,160.1,203.8,160.6,152.1,182.2,174.2,183.5,217.6,216.1,223.2,226.9,248.1,281.4,322.1,327.0,288.0,264.7,247.3,225.0,200.0,173.9,182.0,158.1,156.4,155.3,173.7,146.0,118.1,118.8,114.2,104.7,94.0,n/a,n/a,n/a,n/a
Murder and nonnegligent manslaughter,4.5,2.5,8.2,4.7,3.1,1.9,5.9,6.9,4.2,4.7,4.1,6.1,3.7,5.7,5.6,8.2,4.8,2.8,13.2,5.3,2.3,6.9,4.9,2.5,1.8,4.5,1.4,3.6,1.1,1.7,0.8,1.0,2.0,2.0,1.0,1.1,1.9
Forcible rape,16.9,6.4,16.5,12.2,15.0,13.4,11.7,8.5,11.0,14.9,13.8,9.7,19.6,13.7,21.8,10.0,13.6,11.2,14.4,12.3,9.1,6.7,10.8,12.4,10.6,7.3,7.5,5.8,4.7,3.9,4.5,2.8,5.2,n/a,n/a,n/a,n/a
Robbery,54.5,49.0,48.9,44.8,32.6,37.9,40.3,41.0,45.7,43.2,40.9,59.6,58.2,56.7,71.3,77.5,61.1,60.2,44.7,43.3,38.7,25.6,24.3,24.5,17.4,25.0,28.2,27.8,20.5,23.5,21.1,17.3,18.9,12.4,18.0,13.0,19.4
Aggravated assault,128.9,102.1,130.2,98.9,101.4,129.0,116.4,127.1,156.7,153.2,164.4,151.5,166.7,205.3,223.5,231.4,208.5,190.5,175.0,164.2,149.9,134.8,142.1,118.7,126.5,118.6,136.5,108.8,91.7,89.6,87.9,83.5,67.8,64.7,53.9,72.3,72.8
Property Crime Index***,2671.7,2180.9,2312.3,2082.3,2284.3,2549.4,2480.5,2436.4,2659.6,2834.6,2564.3,2608.6,2392.4,2549.0,2581.8,2590.3,2697.3,2532.9,1962.1,1739.0,1579.6,1358.6,1260.8,1231.0,1134.7,1019.7,848.1,897.3,821.5,835.6,738.1,721.9,651.2,598.5,539.3,503.0,488.2
Burglary,685.5,586.7,598.1,461.2,482.6,496.3,461.3,502.1,530.2,534.3,507.2,554.3,446.1,503.3,491.4,468.7,475.3,420.5,336.9,272.1,235.3,223.9,195.4,207.7,181.9,143.9,164.1,147.8,120.0,110.0,85.4,86.9,77.4,70.9,63.6,74.3,72.9
Larceny-theft,1714.7,1383.5,1512.7,1466.3,1612.1,1825.4,1773.9,1674.1,1862.9,1934.6,1762.2,1749.9,1662.0,1731.3,1755.2,1758.7,1914.4,1820.0,1421.8,1298.8,1174.6,986.4,932.8,890.8,842.5,772.5,601.8,661.9,638.1,662.4,608.2,599.7,537.6,491.8,445.6,378.0,365.5
Motor vehicle theft,253.6,188.1,180.4,137.0,161.9,197.1,229.4,237.8,241.5,340.7,270.9,283.1,261.5,289.3,301.8,332.4,279.8,274.3,177.9,147.7,150.6,127.9,118.7,117.6,95.2,88.7,69.1,76.8,52.5,51.3,36.3,29.3,31.7,27.1,23.5,38.2,39.7
