Offense,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
All crimes*,2820.1,2717.9,2707.1,2361.9,2259.2,2570.8,2485.6,2798.6,3223.8,2104.6,2977.5,3102.7,3056.0,3164.7,3455.2,3284.4,3515.0,3301.9,2637.4,2395.7,2197.0,1974.9,2129.8,1994.4,1809.4,1596.5,1660.0,1650.7,1613.0,1459.6,1293.1,1114,1155.3,693,622.4,660.7,610
Violent Crime Index**,118.5,98.8,105.8,89.3,81.8,81.8,81.1,85.6,113.6,108.7,128.5,143.2,146.0,156.8,180.7,175.3,185.4,163.2,136.3,121.2,111.8,99.3,92.2,83.8,72.6,67.1,74.0,69.2,63.1,59.1,46.0,40.7,46.6,n/a,n/a,n/a,n/a
Murder and nonnegligent manslaughter,2.2,3.7,3.5,2.0,1.1,1.8,3.3,3.2,3.8,3.4,3.5,4.1,3.2,4.1,5.1,4.5,6.3,4.4,3.8,2.5,2.2,4.0,1.5,2.0,1.0,0.8,1.0,0.9,0.9,0.6,0.4,0.2,0.1,0.4,0.4,0.1,0.8
Forcible rape,7.2,1.9,5.3,3.6,2.7,3.3,3.8,3.5,4.2,3.8,5.3,5.1,5.3,3.3,4.6,3.9,3.6,3.5,3.3,4.4,1.9,3.1,3.0,2.4,2.2,1.6,1.8,2.2,1.1,2.1,1.1,1.3,1.6,n/a,n/a,n/a,n/a
Robbery,66.8,55.4,59.9,49.9,43.8,37.9,32.1,37.9,48.7,42.0,46.8,61.7,65.1,66.7,75.3,74.1,84.3,57.5,43.2,37.6,37.1,32.1,32.4,25.8,23.7,24.0,25.7,25.8,24.4,22.0,17.5,16.6,18.5,8.4,9.1,12.5,13
Aggravated assault,42.3,37.7,37.1,33.8,34.2,38.8,41.9,41.1,56.9,59.5,72.9,72.3,72.4,82.7,95.6,92.7,91.2,97.8,85.9,76.7,70.6,60.0,55.3,53.6,45.8,40.7,45.4,40.3,36.7,34.3,27.0,22.7,26.5,17.7,20.1,19.1,18.2
Property Crime Index***,1525.8,1358.6,1281.7,1052.0,914.1,1058.8,1043.8,1198.4,1409.4,972.3,1215.9,1262.1,1218.8,1226.3,1257.6,1236.8,1290.0,1200.0,911.6,813.7,712.8,617.3,644.1,576.4,539.0,442.3,433.5,430.9,423.2,427.9,369.5,316.8,325.4,205.0,171.7,180.4,161.1
Burglary,328.2,308.1,288.7,212.4,172.3,198.2,185.4,199.1,247.9,173.4,203.4,228.9,219.5,188.3,171.0,165.4,173.9,170.6,136.9,116.6,95.0,80.6,81.9,73.3,61.7,48.1,58.9,51.4,54.9,42.6,39.9,35.1,40.3,28.3,24.0,22.2,22.7
Larceny-theft,1043.0,944.7,900.3,755.0,671.7,776.8,762.3,858.9,979.1,643.4,836.1,862.7,847.3,869.3,934.8,919.8,957.0,903.1,685.0,600.5,540.1,473.8,491.3,434.2,423.0,349.0,321.5,341.0,340.0,364.3,313.7,268.9,270.7,168.3,139.0,149.9,127.3
Motor vehicle theft,146.4,98.5,86.2,78.5,61.8,76.1,91.4,129.9,171.2,149.0,168.8,159.3,141.8,157.9,142.0,141.7,150.3,115.0,82.4,90.3,71.5,56.3,65.7,64.1,47.4,39.0,44.7,31.6,22.2,16.6,12.2,9.4,11.4,6.1,6.4,6.8,8.6
Arson,8.2,7.3,6.4,6.1,8.4,7.6,4.7,10.5,11.2,6.5,7.6,11.2,10.1,10.7,9.8,9.9,8.8,11.2,7.3,6.3,6.3,6.6,5.2,4.8,6.9,6.2,8.4,6.9,6.2,4.4,3.8,3.4,3.1,2.2,2.4,1.5,2.5
Other assaults,158.6,155.2,150.3,157.8,125.4,144.9,149.9,178.8,218.6,127.5,253.9,251.3,236.4,257.8,268.2,259.2,282.2,252.9,226.6,207.2,196.5,188.8,205.6,197.7,196.9,173.6,167.8,157.5,158.8,138.9,134.6,110.9,113.5,68.4,66.8,75.7,69.3
Vandalism,103.2,88.8,93.3,83.5,89.1,121.5,122.4,132.7,143.5,98.3,151.0,163.2,144.4,191.6,221.6,172.2,160.7,139.2,111.5,104.5,95.1,81.5,88.0,80.3,77.4,74.2,91.7,92.4,84.6,61.9,48.0,43.1,36.9,21.4,21.6,27.0,21.8
Weapons carrying, possessing, etc.,43.8,42.1,30.3,28.6,33.3,37.7,37.9,45.7,57.7,46.3,60.4,71.2,68.7,76.4,89.2,73.4,67.2,67.2,48.0,51.4,42.1,36.4,32.8,42.3,36.6,34.7,36.7,33.3,27.2,24.2,22.0,19.9,23.4,17.5,15.3,16.5,14.4
Drug abuse violations,101.9,125.1,124.9,125.1,120.2,142.2,84.4,93.5,87.9,48.8,55.1,59.9,67.5,76.9,111.4,143.6,159.1,161.7,145.5,136.5,140.9,152.2,146.6,128.9,114.4,114.1,111.5,112.2,108.0,114.3,110.6,108.2,118.5,83.0,80.1,71.0,72.2
Driving under the influence,11.4,17.7,15.7,12.7,13.4,17.4,13.1,14.4,15.9,7.0,11.3,12.8,8.2,10.6,11.4,12.3,17.2,16.0,17.2,17.9,13.6,12.7,13.8,13.4,15.4,11.2,14.3,11.2,11.9,9.9,10.2,6.9,7.0,6.2,6.0,6.0,5.6
Liquor laws,73.4,69.6,70.0,71.4,75.8,94.5,95.1,93.6,102.8,89.5,102.1,96.8,67.3,63.1,85.6,86.4,108.4,107.7,94.3,87.7,65.3,60.2,97.9,98.5,97.5,75.4,105.8,98.3,91.3,84.6,77.1,62.5,66.4,40.1,34.6,31.0,26.2
Drunkenness,15.8,13.8,11.1,10.3,8.6,7.4,9.2,8.1,9.0,8.4,8.1,6.7,9.6,6.5,6.3,9.6,12.2,12.0,11.5,9.9,10.5,8.4,9.0,9.2,8.7,8.6,9.0,8.2,6.3,6.4,5.3,5.8,7.5,6.1,4.9,3.7,3.4
Disorderly conduct,45.1,56.5,60.4,43.7,37.1,43.3,44.0,48.5,70.2,67.5,84.8,87.0,89.2,82.5,112.7,107.0,153.3,161.9,120.6,99.4,92.9,97.3,108.0,116.0,106.9,102.0,103.5,91.2,87.6,80.4,68.7,56.7,53.1,38.4,30.2,30.5,25.2
Curfew and loitering law violations,85.3,99.4,107.9,81.3,134.7,159.4,162.6,161.5,169.2,103.3,181.7,171.4,163.0,200.3,231.9,211.0,262.6,214.2,170.5,157.9,213.2,150.3,152.0,126.2,121.7,106.9,106.6,107.4,102.0,79.8,72.8,63.7,65.0,41.3,36.6,31.3,23.7
Runaways,303.8,261.0,269.0,203.3,265.0,288.0,288.4,278.9,331.5,180.7,373.0,412.9,518.2,529.7,596.6,624.2,583.8,492.5,385.0,359.1,381.4,373.4,431.5,399.6,333.1,284.5,341.0,331.3,319.0,299.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a
