Offense,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
All crimes*,2300.1,2322.2,2452.6,2326.9,2387.1,2552.5,2645.4,2754.1,2866.3,2899.6,2948.0,3023.1,2992.5,3223.8,3636.1,3744.5,4029.5,4028.3,3735.8,3455.5,3409.8,3351.3,3474.8,3401.5,3477.3,3384.8,3415.2,3443.3,3405.8,3193.7,2917.8,2615,2349.7,1910.6,1803,1652.4,1543
Violent Crime Index**,62.3,63.6,64.4,61.5,63.2,65.2,69.1,68.5,79.0,92.4,100.9,105.2,118.2,130.4,144.5,148.9,134.8,129.4,124.3,115.5,112.2,109.4,104.3,101.7,101.3,104.8,104.7,99.9,99.5,94.7,84.7,75.9,71.6,n/a,n/a,n/a,n/a
Murder and nonnegligent manslaughter,0.9,1.1,1.0,1.1,0.9,1.0,0.8,1.2,1.2,1.3,1.2,1.1,1.3,1.5,1.5,1.4,1.2,1.0,1.0,0.7,0.8,0.8,0.8,0.9,0.6,0.7,0.4,0.6,0.5,0.5,0.6,0.4,0.4,0.5,0.4,0.3,0.5
Forcible rape,0.6,0.5,0.5,0.4,0.4,0.7,0.8,0.9,0.8,1.0,0.8,0.9,0.9,0.8,0.8,0.8,0.6,0.7,0.6,0.6,0.3,0.4,0.8,0.5,0.7,0.5,0.3,0.4,0.3,0.4,0.4,0.4,0.3,n/a,n/a,n/a,n/a
Robbery,20.6,21.0,18.8,17.5,16.2,16.8,16.9,15.6,18.2,23.8,25.5,28.2,28.2,30.6,34.5,34.6,31.4,24.5,20.4,17.6,15.8,14.6,13.0,13.3,14.7,16.2,19.6,19.9,19.6,19.3,16.2,13.1,13.3,11.4,12.1,12.0,12.5
Aggravated assault,40.3,40.8,44.0,42.5,45.7,46.6,50.6,50.7,58.9,66.3,73.4,75.0,87.8,97.4,107.7,112.1,101.6,103.3,102.3,96.7,95.3,93.6,89.6,87.0,85.4,87.3,84.4,79.0,79.1,74.5,67.5,61.9,57.6,49.2,46.7,44.9,44.5
Property Crime Index***,891.6,882.3,903.5,882.1,899.7,967.8,978.0,1039.8,1058.9,1067.9,1114.7,1145.8,1118.6,1159.5,1273.9,1256.6,1262.2,1237.6,1054.5,945.7,947.8,931.1,903.5,864.1,897.8,826.1,761.7,852.9,936.9,951.5,839.7,735.6,628.4,508.2,484.0,433.8,378.2
Burglary,94.0,90.8,91.3,82.7,80.3,84.6,85.4,82.7,82.7,86.1,82.2,87.2,88.0,90.9,91.0,87.7,88.4,84.9,80.7,67.8,65.7,63.7,57.1,57.9,55.2,52.0,54.4,55.3,59.7,51.5,45.1,43.4,38.3,30.1,28.7,29.0,22.9
Larceny-theft,750.3,750.1,771.3,763.4,780.9,836.7,840.0,898.5,907.2,904.3,954.3,977.2,946.0,976.6,1087.4,1079.3,1093.0,1075.6,908.6,819.6,823.0,810.8,793.5,754.9,796.4,729.3,666.4,763.3,849.1,875.4,775.6,674.5,573.6,462.5,439.9,386.3,335
Motor vehicle theft,42.1,36.7,35.3,31.5,34.0,41.6,47.7,53.6,64.0,72.3,73.1,76.1,77.8,84.2,86.6,81.5,74.0,69.9,59.4,52.3,53.2,50.4,47.4,45.3,40.2,38.5,34.5,29.5,23.3,20.4,15.4,13.5,12.5,12.4,13.0,16.0,17.9
