"Easy Access to Juvenile Populations"
"Table:    Albany County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","White","Black","American Indian","Asian","Total",
"0","386","10","8","18","422",
"1","367","18","7","11","403",
"2","336","16","4","17","373",
"3","350","16","12","17","395",
"4","325","18","5","18","366",
"5","348","19","9","10","386",
"6","341","21","8","8","378",
"7","324","14","8","10","356",
"8","341","8","6","13","368",
"9","317","8","7","8","340",
"10","294","6","7","7","314",
"11","284","10","6","6","306",
"12","275","4","3","7","289",
"13","275","9","7","12","303",
"14","291","7","5","13","316",
"15","277","8","7","8","300",
"16","252","11","8","6","277",
"17","291","21","5","14","331",
"18 to 20","3790","66","23","190","4069",
"21 to 24","6426","195","99","227","6947",
"25 & over","19437","408","267","728","20840",
"Total","35327","893","511","1348","38079",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
