"Easy Access to Juvenile Populations"
"Table:    Albany County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Female"

"counts","White","Black","American Indian","Asian","Total",
"0","191","6","3","10","210",
"1","177","6","5","7","195",
"2","156","10","3","3","172",
"3","166","11","2","6","185",
"4","143","8","8","6","165",
"5","170","6","2","12","190",
"6","160","8","3","6","177",
"7","165","10","2","5","182",
"8","153","5","3","5","166",
"9","146","2","2","9","159",
"10","166","3","4","5","178",
"11","153","4","5","3","165",
"12","121","9","2","2","134",
"13","140","3","2","2","147",
"14","154","5","2","5","166",
"15","129","2","3","8","142",
"16","136","4","4","6","150",
"17","135","7","1","5","148",
"18 to 20","1824","26","14","104","1968",
"21 to 24","2889","55","62","91","3097",
"25 & over","9485","141","122","340","10088",
"Total","16959","331","254","640","18184",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
