"Easy Access to Juvenile Populations"
"Table:    Albany County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Asian"

"counts","Asian","Total",
"0","19","19",
"1","17","17",
"2","7","7",
"3","13","13",
"4","17","17",
"5","17","17",
"6","7","7",
"7","9","9",
"8","9","9",
"9","13","13",
"10","11","11",
"11","5","5",
"12","7","7",
"13","7","7",
"14","11","11",
"15","11","11",
"16","7","7",
"17","13","13",
"18 to 20","205","205",
"21 to 24","230","230",
"25 & over","727","727",
"Total","1362","1362",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
