"Easy Access to Juvenile Populations"
"Table:    Crook County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2011"

"counts","White","Black","American Indian","Asian","Total",
"0","81","1","1","0","83",
"1","114","2","0","0","116",
"2","89","0","0","0","89",
"3","105","1","0","1","107",
"4","106","3","1","1","111",
"5","82","0","1","1","84",
"6","92","1","1","0","94",
"7","90","2","1","0","93",
"8","88","2","0","0","90",
"9","90","2","1","1","94",
"10","79","2","4","0","85",
"11","80","2","1","0","83",
"12","80","2","2","0","84",
"13","79","2","0","0","81",
"14","89","1","2","0","92",
"15","102","1","1","0","104",
"16","93","0","2","0","95",
"17","103","0","2","0","105",
"18 to 20","221","2","1","0","224",
"21 to 24","252","2","1","0","255",
"25 & over","4902","23","36","9","4970",
"Total","7017","51","58","13","7139",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
