"Easy Access to Juvenile Populations"
"Table:    Crook County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Female"

"counts","White","Black","American Indian","Asian","Total",
"0","47","1","0","0","48",
"1","49","1","1","0","51",
"2","56","0","0","0","56",
"3","46","1","0","0","47",
"4","68","1","0","0","69",
"5","49","1","0","0","50",
"6","48","0","0","0","48",
"7","40","0","1","0","41",
"8","49","0","0","1","50",
"9","41","0","2","0","43",
"10","49","1","2","1","53",
"11","52","0","1","0","53",
"12","53","0","0","0","53",
"13","48","0","0","0","48",
"14","52","1","1","0","54",
"15","39","0","3","0","42",
"16","47","1","0","0","48",
"17","38","0","0","0","38",
"18 to 20","95","1","1","0","97",
"21 to 24","120","2","1","0","123",
"25 & over","2499","30","28","8","2565",
"Total","3585","41","41","10","3677",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
