"Easy Access to Juvenile Populations"
"Table:    Crook County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Asian"

"counts","Asian","Total",
"0","0","0",
"1","0","0",
"2","0","0",
"3","0","0",
"4","1","1",
"5","0","0",
"6","0","0",
"7","0","0",
"8","1","1",
"9","1","1",
"10","1","1",
"11","0","0",
"12","0","0",
"13","0","0",
"14","1","1",
"15","0","0",
"16","0","0",
"17","0","0",
"18 to 20","0","0",
"21 to 24","0","0",
"25 & over","18","18",
"Total","23","23",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
