"Easy Access to Juvenile Populations"
"Table:    Crook County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Non Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","94","2","1","0","97",
"1","103","2","1","0","106",
"2","101","0","0","0","101",
"3","86","1","0","0","87",
"4","107","1","0","1","109",
"5","96","2","0","0","98",
"6","109","0","0","0","109",
"7","82","0","1","0","83",
"8","104","2","1","1","108",
"9","104","0","3","1","108",
"10","97","2","3","1","103",
"11","99","1","2","0","102",
"12","92","1","1","0","94",
"13","91","1","1","0","93",
"14","94","2","3","1","100",
"15","87","1","3","0","91",
"16","93","1","1","0","95",
"17","78","0","1","0","79",
"18 to 20","178","3","1","0","182",
"21 to 24","250","5","3","0","258",
"25 & over","4961","57","43","17","5078",
"Total","7106","84","69","22","7281",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
