"Easy Access to Juvenile Populations"
"Table:    Fremont County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 1995"

"counts","White","Black","American Indian","Asian","Total",
"0","314","0","138","1","453",
"1","313","5","145","0","463",
"2","334","0","160","3","497",
"3","334","0","207","0","541",
"4","350","0","196","3","549",
"5","373","1","175","2","551",
"6","392","0","173","0","565",
"7","374","0","160","2","536",
"8","399","0","149","1","549",
"9","452","0","168","1","621",
"10","428","3","168","5","604",
"11","453","0","186","2","641",
"12","484","0","177","0","661",
"13","522","4","191","0","717",
"14","525","0","170","0","695",
"15","497","0","162","2","661",
"16","482","3","151","2","638",
"17","468","0","136","0","604",
"18 to 20","1007","2","334","2","1345",
"21 to 24","1016","5","441","10","1472",
"25 & over","18819","19","3167","51","22056",
"Total","28336","42","6954","87","35419",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
