"Easy Access to Juvenile Populations"
"Table:    Fremont County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","4","4",
"1","13","13",
"2","8","8",
"3","7","7",
"4","1","1",
"5","11","11",
"6","5","5",
"7","5","5",
"8","4","4",
"9","6","6",
"10","6","6",
"11","4","4",
"12","5","5",
"13","2","2",
"14","5","5",
"15","7","7",
"16","6","6",
"17","5","5",
"18 to 20","13","13",
"21 to 24","15","15",
"25 & over","172","172",
"Total","304","304",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
