"Easy Access to Juvenile Populations"
"Table:    Goshen County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2002"

"counts","White","Black","American Indian","Asian","Total",
"0","136","1","4","1","142",
"1","132","2","3","1","138",
"2","147","2","1","0","150",
"3","139","0","2","0","141",
"4","148","0","0","1","149",
"5","129","0","2","0","131",
"6","141","1","4","0","146",
"7","123","0","2","0","125",
"8","167","0","2","1","170",
"9","127","0","2","0","129",
"10","174","3","0","1","178",
"11","178","1","3","0","182",
"12","191","0","4","3","198",
"13","163","1","3","0","167",
"14","183","0","4","5","192",
"15","176","1","2","0","179",
"16","182","1","4","0","187",
"17","188","1","3","2","194",
"18 to 20","616","5","7","5","633",
"21 to 24","535","2","5","5","547",
"25 & over","8204","19","62","18","8303",
"Total","12179","40","119","43","12381",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
