"Easy Access to Juvenile Populations"
"Table:    Goshen County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Male"

"counts","White","Black","American Indian","Asian","Total",
"0","69","1","1","2","73",
"1","80","2","3","2","87",
"2","63","6","2","1","72",
"3","69","1","6","0","76",
"4","55","1","5","0","61",
"5","70","2","0","1","73",
"6","65","2","2","1","70",
"7","78","2","1","2","83",
"8","67","3","0","2","72",
"9","90","0","1","0","91",
"10","67","0","1","0","68",
"11","66","0","1","0","67",
"12","88","1","0","0","89",
"13","66","2","3","2","73",
"14","82","0","0","0","82",
"15","68","0","0","0","68",
"16","89","1","2","1","93",
"17","79","0","0","0","79",
"18 to 20","283","11","2","2","298",
"21 to 24","352","14","6","1","373",
"25 & over","4786","75","62","21","4944",
"Total","6732","124","98","38","6992",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
