"Easy Access to Juvenile Populations"
"Table:    Goshen County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Female"

"counts","White","Black","American Indian","Asian","Total",
"0","68","2","2","2","74",
"1","54","2","1","1","58",
"2","82","1","4","0","87",
"3","51","2","8","0","61",
"4","70","1","2","0","73",
"5","62","1","0","0","63",
"6","76","1","3","1","81",
"7","81","0","3","0","84",
"8","71","4","0","0","75",
"9","84","3","2","0","89",
"10","61","2","1","1","65",
"11","64","0","1","0","65",
"12","73","0","0","1","74",
"13","80","0","1","1","82",
"14","71","0","2","1","74",
"15","78","4","2","2","86",
"16","85","1","0","1","87",
"17","73","1","0","1","75",
"18 to 20","276","4","3","4","287",
"21 to 24","264","2","7","7","280",
"25 & over","4380","33","34","31","4478",
"Total","6204","64","76","54","6398",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
