"Easy Access to Juvenile Populations"
"Table:    Hot Springs County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 1992"

"counts","White","Black","American Indian","Asian","Total",
"0","50","0","0","0","50",
"1","38","0","1","0","39",
"2","46","0","5","0","51",
"3","47","0","0","0","47",
"4","50","0","2","0","52",
"5","57","0","1","0","58",
"6","60","0","5","0","65",
"7","57","0","1","0","58",
"8","65","0","4","0","69",
"9","85","0","1","0","86",
"10","78","0","2","0","80",
"11","76","0","2","0","78",
"12","85","0","7","0","92",
"13","86","0","1","0","87",
"14","89","0","4","0","93",
"15","74","0","2","0","76",
"16","75","0","2","0","77",
"17","82","0","2","0","84",
"18 to 20","129","2","4","0","135",
"21 to 24","119","0","1","0","120",
"25 & over","3283","0","42","0","3325",
"Total","4731","2","89","0","4822",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
