"Easy Access to Juvenile Populations"
"Table:    Johnson County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2002"

"counts","White","Black","American Indian","Asian","Total",
"0","67","1","3","0","71",
"1","73","0","1","0","74",
"2","61","0","2","0","63",
"3","79","0","0","0","79",
"4","73","1","1","1","76",
"5","92","0","2","0","94",
"6","79","2","1","0","82",
"7","104","0","3","0","107",
"8","86","2","2","0","90",
"9","98","0","1","0","99",
"10","98","0","2","0","100",
"11","100","0","0","0","100",
"12","111","0","1","0","112",
"13","104","0","1","0","105",
"14","97","0","2","0","99",
"15","106","0","0","1","107",
"16","113","0","0","0","113",
"17","105","0","0","0","105",
"18 to 20","260","0","2","3","265",
"21 to 24","204","2","2","0","208",
"25 & over","5180","6","30","6","5222",
"Total","7290","14","56","11","7371",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
