"Easy Access to Juvenile Populations"
"Table:    Johnson County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","1","1",
"1","1","1",
"2","3","3",
"3","3","3",
"4","4","4",
"5","8","8",
"6","10","10",
"7","5","5",
"8","5","5",
"9","3","3",
"10","5","5",
"11","2","2",
"12","2","2",
"13","2","2",
"14","2","2",
"15","1","1",
"16","3","3",
"17","2","2",
"18 to 20","4","4",
"21 to 24","6","6",
"25 & over","57","57",
"Total","129","129",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
