"Easy Access to Juvenile Populations"
"Table:    Johnson County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","2","0","0","0","2",
"1","6","0","0","0","6",
"2","4","1","2","0","7",
"3","4","0","1","0","5",
"4","4","0","1","0","5",
"5","8","3","6","0","17",
"6","5","0","6","3","14",
"7","3","2","3","0","8",
"8","5","0","0","0","5",
"9","6","0","1","1","8",
"10","8","1","3","0","12",
"11","5","0","1","0","6",
"12","11","0","1","0","12",
"13","10","1","1","0","12",
"14","7","1","0","0","8",
"15","10","0","0","0","10",
"16","6","0","0","0","6",
"17","7","0","0","0","7",
"18 to 20","11","1","2","0","14",
"21 to 24","19","1","4","0","24",
"25 & over","187","2","8","3","200",
"Total","328","13","40","7","388",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
