"Easy Access to Juvenile Populations"
"Table:    Laramie County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 1999"

"counts","White","Black","American Indian","Asian","Total",
"0","998","53","11","13","1075",
"1","1014","59","8","21","1102",
"2","1016","31","11","22","1080",
"3","1011","48","8","14","1081",
"4","966","55","30","19","1070",
"5","1056","49","15","18","1138",
"6","1069","41","22","16","1148",
"7","1152","48","11","23","1234",
"8","1094","30","12","15","1151",
"9","1147","84","13","14","1258",
"10","1106","40","18","18","1182",
"11","1096","64","14","14","1188",
"12","1135","45","16","17","1213",
"13","1178","30","11","19","1238",
"14","1193","31","31","13","1268",
"15","1196","66","7","16","1285",
"16","1204","33","16","13","1266",
"17","1111","29","9","15","1164",
"18 to 20","3094","197","53","57","3401",
"21 to 24","4063","231","76","87","4457",
"25 & over","49711","1252","438","609","52010",
"Total","76610","2516","830","1053","81009",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
