"Easy Access to Juvenile Populations"
"Table:    Laramie County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Male"

"counts","White","Black","American Indian","Asian","Total",
"0","562","32","13","15","622",
"1","577","43","6","16","642",
"2","564","46","16","14","640",
"3","646","35","14","12","707",
"4","626","25","15","24","690",
"5","562","38","18","9","627",
"6","586","31","14","9","640",
"7","623","39","13","12","687",
"8","640","39","12","14","705",
"9","622","28","6","10","666",
"10","643","20","20","10","693",
"11","598","39","12","16","665",
"12","622","15","17","10","664",
"13","618","38","11","10","677",
"14","562","20","8","13","603",
"15","561","33","13","12","619",
"16","602","22","10","9","643",
"17","550","30","14","6","600",
"18 to 20","1735","135","30","35","1935",
"21 to 24","2842","302","57","66","3267",
"25 & over","30754","1134","381","529","32798",
"Total","46095","2144","700","851","49790",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
