"Easy Access to Juvenile Populations"
"Table:    Laramie County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","25","25",
"1","25","25",
"2","24","24",
"3","22","22",
"4","26","26",
"5","26","26",
"6","20","20",
"7","30","30",
"8","26","26",
"9","16","16",
"10","38","38",
"11","23","23",
"12","28","28",
"13","23","23",
"14","19","19",
"15","22","22",
"16","16","16",
"17","30","30",
"18 to 20","57","57",
"21 to 24","111","111",
"25 & over","793","793",
"Total","1400","1400",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
