"Easy Access to Juvenile Populations"
"Table:    Lincoln County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2009"

"counts","White","Black","American Indian","Asian","Total",
"0","289","0","0","1","290",
"1","301","2","2","0","305",
"2","302","1","3","0","306",
"3","296","0","2","0","298",
"4","275","1","2","0","278",
"5","252","1","4","3","260",
"6","290","1","4","0","295",
"7","275","0","6","0","281",
"8","242","2","3","0","247",
"9","290","3","3","0","296",
"10","306","1","5","1","313",
"11","274","3","9","1","287",
"12","294","1","1","2","298",
"13","247","3","5","1","256",
"14","277","2","3","0","282",
"15","268","3","5","1","277",
"16","284","3","3","2","292",
"17","269","0","5","0","274",
"18 to 20","510","2","3","1","516",
"21 to 24","647","3","10","1","661",
"25 & over","11607","18","99","46","11770",
"Total","17795","50","177","60","18082",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
