"Easy Access to Juvenile Populations"
"Table:    Lincoln County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Female"

"counts","White","Black","American Indian","Asian","Total",
"0","112","1","3","1","117",
"1","113","1","2","3","119",
"2","125","2","3","3","133",
"3","104","2","4","1","111",
"4","138","1","6","1","146",
"5","119","0","1","1","121",
"6","138","1","0","1","140",
"7","157","0","1","1","159",
"8","166","0","1","2","169",
"9","143","2","0","1","146",
"10","155","1","1","0","157",
"11","151","2","2","2","157",
"12","131","1","3","0","135",
"13","138","1","2","0","141",
"14","118","3","0","0","121",
"15","137","2","2","0","141",
"16","132","2","2","1","137",
"17","127","1","3","1","132",
"18 to 20","254","1","2","4","261",
"21 to 24","341","8","8","1","358",
"25 & over","6111","39","55","54","6259",
"Total","9110","71","101","78","9360",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
