"Easy Access to Juvenile Populations"
"Table:    Natrona County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2011"

"counts","White","Black","American Indian","Asian","Total",
"0","943","36","39","14","1032",
"1","975","27","16","6","1024",
"2","996","27","18","11","1052",
"3","1048","34","19","12","1113",
"4","1047","29","19","13","1108",
"5","1036","29","26","7","1098",
"6","970","26","15","9","1020",
"7","967","18","26","14","1025",
"8","973","21","20","13","1027",
"9","909","15","19","8","951",
"10","914","27","20","8","969",
"11","923","16","18","10","967",
"12","901","22","19","16","958",
"13","866","24","17","8","915",
"14","871","25","23","8","927",
"15","928","23","18","11","980",
"16","930","19","13","8","970",
"17","933","19","19","11","982",
"18 to 20","2837","68","60","30","2995",
"21 to 24","4043","87","87","43","4260",
"25 & over","49377","571","600","489","51037",
"Total","73387","1163","1111","749","76410",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
