"Easy Access to Juvenile Populations"
"Table:    Natrona County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Male"

"counts","White","Black","American Indian","Asian","Total",
"0","566","18","12","11","607",
"1","542","21","6","3","572",
"2","560","18","21","7","606",
"3","550","17","13","7","587",
"4","529","18","13","15","575",
"5","492","31","10","20","553",
"6","549","17","10","20","596",
"7","496","17","12","26","551",
"8","542","16","9","13","580",
"9","598","19","11","8","636",
"10","527","13","13","3","556",
"11","519","13","9","2","543",
"12","544","7","7","7","565",
"13","500","17","8","5","530",
"14","500","9","4","4","517",
"15","496","19","14","6","535",
"16","469","9","9","2","489",
"17","496","8","11","9","524",
"18 to 20","1275","48","40","23","1386",
"21 to 24","1918","55","70","30","2073",
"25 & over","26197","443","408","259","27307",
"Total","38865","833","710","480","40888",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
