"Easy Access to Juvenile Populations"
"Table:    Natrona County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Female"

"counts","White","Black","American Indian","Asian","Total",
"0","536","16","12","13","577",
"1","511","20","7","7","545",
"2","536","19","15","13","583",
"3","505","17","20","7","549",
"4","458","17","7","5","487",
"5","534","12","13","8","567",
"6","514","18","3","4","539",
"7","509","7","7","8","531",
"8","527","14","12","8","561",
"9","554","5","9","10","578",
"10","519","17","8","6","550",
"11","514","11","11","5","541",
"12","480","11","14","11","516",
"13","498","8","12","6","524",
"14","436","10","9","3","458",
"15","464","7","13","7","491",
"16","466","10","9","6","491",
"17","450","11","10","14","485",
"18 to 20","1231","48","27","19","1325",
"21 to 24","1855","42","35","24","1956",
"25 & over","26261","352","348","336","27297",
"Total","38358","672","601","520","40151",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
