"Easy Access to Juvenile Populations"
"Table:    Natrona County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","135","5","9","6","155",
"1","136","10","3","4","153",
"2","132","6","18","2","158",
"3","139","6","17","1","163",
"4","124","9","14","1","148",
"5","128","3","9","8","148",
"6","126","9","8","6","149",
"7","114","6","4","4","128",
"8","118","1","14","3","136",
"9","167","3","8","2","180",
"10","118","9","10","1","138",
"11","125","3","10","3","141",
"12","100","4","10","1","115",
"13","105","5","11","1","122",
"14","90","3","8","2","103",
"15","97","2","14","5","118",
"16","100","4","11","1","116",
"17","91","7","10","4","112",
"18 to 20","281","8","23","3","315",
"21 to 24","441","17","45","5","508",
"25 & over","3202","118","218","59","3597",
"Total","6069","238","474","122","6903",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
