"Easy Access to Juvenile Populations"
"Table:    Niobrara County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"

"counts","White","Black","American Indian","Asian","Total",
"0","22","0","2","0","24",
"1","25","1","0","0","26",
"2","20","1","2","0","23",
"3","28","1","0","0","29",
"4","24","0","2","0","26",
"5","21","0","2","0","23",
"6","22","0","0","0","22",
"7","23","0","1","0","24",
"8","22","0","0","0","22",
"9","22","0","0","0","22",
"10","20","0","2","0","22",
"11","18","1","0","0","19",
"12","18","0","2","0","20",
"13","31","0","0","1","32",
"14","22","1","0","1","24",
"15","34","0","0","1","35",
"16","16","1","0","0","17",
"17","42","0","0","1","43",
"18 to 20","68","3","1","1","73",
"21 to 24","110","5","1","2","118",
"25 & over","1772","25","30","9","1836",
"Total","2380","39","45","16","2480",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
