"Easy Access to Juvenile Populations"
"Table:    Park County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2009"

"counts","White","Black","American Indian","Asian","Total",
"0","307","4","4","3","318",
"1","314","3","3","0","320",
"2","331","1","1","3","336",
"3","323","2","2","1","328",
"4","300","0","5","1","306",
"5","298","1","3","2","304",
"6","355","6","2","1","364",
"7","289","2","4","2","297",
"8","284","2","4","1","291",
"9","305","3","2","2","312",
"10","296","2","6","1","305",
"11","333","2","5","2","342",
"12","305","5","11","7","328",
"13","347","6","5","4","362",
"14","299","2","2","4","307",
"15","347","1","3","2","353",
"16","334","1","5","0","340",
"17","380","5","2","0","387",
"18 to 20","1263","18","22","29","1332",
"21 to 24","1204","9","8","22","1243",
"25 & over","19268","34","123","108","19533",
"Total","27482","109","222","195","28008",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
