"Easy Access to Juvenile Populations"
"Table:    Park County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","14","14",
"1","13","13",
"2","6","6",
"3","7","7",
"4","7","7",
"5","8","8",
"6","2","2",
"7","4","4",
"8","3","3",
"9","3","3",
"10","3","3",
"11","2","2",
"12","3","3",
"13","3","3",
"14","0","0",
"15","3","3",
"16","5","5",
"17","3","3",
"18 to 20","29","29",
"21 to 24","70","70",
"25 & over","159","159",
"Total","347","347",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
