"Easy Access to Juvenile Populations"
"Table:    Park County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Non Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","268","14","6","4","292",
"1","298","11","6","8","323",
"2","294","5","2","6","307",
"3","267","5","3","4","279",
"4","310","6","2","3","321",
"5","268","8","2","5","283",
"6","285","2","2","5","294",
"7","326","4","1","1","332",
"8","297","3","2","2","304",
"9","322","3","2","3","330",
"10","324","3","4","3","334",
"11","324","1","1","3","329",
"12","299","1","6","1","307",
"13","312","2","2","3","319",
"14","303","0","2","1","306",
"15","297","3","3","1","304",
"16","289","5","5","1","300",
"17","302","3","2","3","310",
"18 to 20","961","25","20","26","1032",
"21 to 24","1088","69","12","16","1185",
"25 & over","19476","147","124","150","19897",
"Total","26910","320","209","249","27688",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
