"Easy Access to Juvenile Populations"
"Table:    Big Horn County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2000"

"counts","White","Black","American Indian","Asian","Total",
"0","160","0","0","0","160",
"1","148","0","1","1","150",
"2","160","0","1","0","161",
"3","143","0","1","0","144",
"4","155","1","1","0","157",
"5","172","2","1","0","175",
"6","167","0","2","2","171",
"7","156","0","0","0","156",
"8","177","0","2","0","179",
"9","205","0","2","0","207",
"10","182","0","4","0","186",
"11","174","1","2","0","177",
"12","215","0","5","0","220",
"13","198","0","3","2","203",
"14","193","1","3","1","198",
"15","182","1","2","2","187",
"16","221","3","2","1","227",
"17","209","1","2","2","214",
"18 to 20","427","1","5","1","434",
"21 to 24","391","1","3","0","395",
"25 & over","7217","5","54","21","7297",
"Total","11252","17","96","33","11398",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
