"Easy Access to Juvenile Populations"
"Table:    Big Horn County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Male"

"counts","White","Black","American Indian","Asian","Total",
"0","69","3","3","1","76",
"1","71","1","2","0","74",
"2","83","2","3","1","89",
"3","65","2","2","1","70",
"4","86","1","0","1","88",
"5","92","0","1","0","93",
"6","57","0","2","0","59",
"7","84","0","2","0","86",
"8","82","1","1","0","84",
"9","79","3","1","0","83",
"10","91","1","2","2","96",
"11","99","0","0","0","99",
"12","90","3","0","3","96",
"13","83","0","1","0","84",
"14","82","1","0","0","83",
"15","94","1","0","0","95",
"16","92","0","2","1","95",
"17","82","1","1","0","84",
"18 to 20","210","6","1","4","221",
"21 to 24","244","1","6","0","251",
"25 & over","3908","31","73","21","4033",
"Total","5843","58","103","35","6039",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
