"Easy Access to Juvenile Populations"
"Table:    Big Horn County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Asian"

"counts","Asian","Total",
"0","1","1",
"1","0","0",
"2","1","1",
"3","1","1",
"4","1","1",
"5","3","3",
"6","0","0",
"7","1","1",
"8","0","0",
"9","0","0",
"10","2","2",
"11","0","0",
"12","3","3",
"13","2","2",
"14","0","0",
"15","2","2",
"16","2","2",
"17","0","0",
"18 to 20","4","4",
"21 to 24","5","5",
"25 & over","34","34",
"Total","62","62",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
