"Easy Access to Juvenile Populations"
"Table:    Big Horn County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Non Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","113","4","3","1","121",
"1","126","1","2","0","129",
"2","136","2","1","1","140",
"3","121","2","4","1","128",
"4","145","1","1","1","148",
"5","143","2","2","3","150",
"6","112","1","1","0","114",
"7","148","0","2","0","150",
"8","147","0","1","0","148",
"9","152","2","3","0","157",
"10","157","2","1","2","162",
"11","184","0","0","0","184",
"12","153","3","0","3","159",
"13","154","1","1","2","158",
"14","152","3","0","0","155",
"15","156","1","2","2","161",
"16","173","2","3","2","180",
"17","153","1","2","0","156",
"18 to 20","333","2","2","3","340",
"21 to 24","389","5","9","5","408",
"25 & over","7300","58","86","31","7475",
"Total","10647","93","126","57","10923",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
