"Easy Access to Juvenile Populations"
"Table:    Platte County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 1995"

"counts","White","Black","American Indian","Asian","Total",
"0","97","0","0","0","97",
"1","98","0","1","0","99",
"2","90","0","0","0","90",
"3","96","0","0","0","96",
"4","104","0","1","0","105",
"5","129","1","1","1","132",
"6","106","0","0","0","106",
"7","118","0","0","0","118",
"8","128","0","0","0","128",
"9","119","0","0","0","119",
"10","148","1","0","0","149",
"11","147","0","1","0","148",
"12","154","0","0","0","154",
"13","152","0","0","0","152",
"14","144","0","0","0","144",
"15","164","0","0","0","164",
"16","149","0","0","0","149",
"17","149","0","0","0","149",
"18 to 20","263","0","0","2","265",
"21 to 24","288","0","0","0","288",
"25 & over","5591","0","9","1","5601",
"Total","8434","2","13","4","8453",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
