"Easy Access to Juvenile Populations"
"Table:    Platte County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Male"

"counts","White","Black","American Indian","Asian","Total",
"0","41","1","0","1","43",
"1","49","1","0","0","50",
"2","39","0","1","0","40",
"3","51","0","0","2","53",
"4","48","3","2","1","54",
"5","41","2","0","1","44",
"6","33","1","0","1","35",
"7","45","2","2","0","49",
"8","44","1","1","0","46",
"9","52","1","0","2","55",
"10","44","0","0","1","45",
"11","57","1","0","0","58",
"12","43","0","0","0","43",
"13","44","0","2","2","48",
"14","51","0","1","0","52",
"15","49","2","0","0","51",
"16","55","0","1","0","56",
"17","52","0","0","0","52",
"18 to 20","133","1","1","4","139",
"21 to 24","180","1","4","1","186",
"25 & over","3151","34","25","17","3227",
"Total","4302","51","40","33","4426",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
