"Easy Access to Juvenile Populations"
"Table:    Platte County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","2","2",
"1","1","1",
"2","3","3",
"3","1","1",
"4","5","5",
"5","2","2",
"6","2","2",
"7","2","2",
"8","1","1",
"9","3","3",
"10","1","1",
"11","2","2",
"12","0","0",
"13","1","1",
"14","0","0",
"15","2","2",
"16","1","1",
"17","0","0",
"18 to 20","5","5",
"21 to 24","2","2",
"25 & over","55","55",
"Total","91","91",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
