"Easy Access to Juvenile Populations"
"Table:    Platte County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Non Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","74","2","0","2","78",
"1","76","1","0","1","78",
"2","72","3","1","1","77",
"3","66","1","1","2","70",
"4","105","5","2","1","113",
"5","74","1","0","1","76",
"6","72","2","1","1","76",
"7","84","2","2","1","89",
"8","84","1","0","0","85",
"9","78","3","0","2","83",
"10","85","1","0","1","87",
"11","89","2","0","0","91",
"12","77","0","0","0","77",
"13","89","1","1","2","93",
"14","93","0","0","0","93",
"15","86","2","0","0","88",
"16","88","1","2","0","91",
"17","95","0","0","0","95",
"18 to 20","185","4","0","6","195",
"21 to 24","284","1","3","5","293",
"25 & over","5823","49","31","34","5937",
"Total","7779","82","44","60","7965",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
