"Easy Access to Juvenile Populations"
"Table:    Sheridan County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2005"

"counts","White","Black","American Indian","Asian","Total",
"0","309","4","7","1","321",
"1","282","1","10","1","294",
"2","345","2","10","2","359",
"3","268","2","6","3","279",
"4","288","1","5","1","295",
"5","322","2","6","2","332",
"6","255","3","5","0","263",
"7","290","3","5","1","299",
"8","286","0","4","3","293",
"9","252","3","7","1","263",
"10","301","4","7","2","314",
"11","322","2","6","1","331",
"12","368","3","8","1","380",
"13","319","5","9","2","335",
"14","328","0","12","7","347",
"15","400","4","10","2","416",
"16","393","3","14","4","414",
"17","402","3","11","1","417",
"18 to 20","1052","13","25","10","1100",
"21 to 24","1205","12","23","14","1254",
"25 & over","18394","53","206","116","18769",
"Total","26381","123","396","175","27075",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
