"Easy Access to Juvenile Populations"
"Table:    Sheridan County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Male"

"counts","White","Black","American Indian","Asian","Total",
"0","147","3","4","2","156",
"1","168","2","3","1","174",
"2","182","2","11","6","201",
"3","153","1","3","2","159",
"4","187","1","6","1","195",
"5","174","2","3","2","181",
"6","189","4","4","2","199",
"7","156","1","2","0","159",
"8","197","4","6","3","210",
"9","194","3","1","2","200",
"10","180","6","4","0","190",
"11","179","13","2","3","197",
"12","190","4","0","1","195",
"13","182","11","2","2","197",
"14","161","4","3","0","168",
"15","152","3","7","2","164",
"16","192","5","8","1","206",
"17","178","4","6","2","190",
"18 to 20","529","13","24","4","570",
"21 to 24","687","20","18","6","731",
"25 & over","10215","102","153","69","10539",
"Total","14592","208","270","111","15181",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
