"Easy Access to Juvenile Populations"
"Table:    Sheridan County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = White"

"counts","White","Total",
"0","289","289",
"1","309","309",
"2","340","340",
"3","299","299",
"4","315","315",
"5","332","332",
"6","357","357",
"7","336","336",
"8","382","382",
"9","381","381",
"10","363","363",
"11","328","328",
"12","345","345",
"13","340","340",
"14","325","325",
"15","325","325",
"16","388","388",
"17","343","343",
"18 to 20","1031","1031",
"21 to 24","1335","1335",
"25 & over","20611","20611",
"Total","29074","29074",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
