"Easy Access to Juvenile Populations"
"Table:    Sheridan County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","7","7",
"1","7","7",
"2","17","17",
"3","8","8",
"4","7","7",
"5","7","7",
"6","8","8",
"7","8","8",
"8","10","10",
"9","6","6",
"10","6","6",
"11","6","6",
"12","5","5",
"13","7","7",
"14","4","4",
"15","12","12",
"16","13","13",
"17","7","7",
"18 to 20","37","37",
"21 to 24","31","31",
"25 & over","270","270",
"Total","483","483",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
