"Easy Access to Juvenile Populations"
"Table:    Sheridan County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","12","0","1","0","13",
"1","16","1","3","0","20",
"2","28","1","9","0","38",
"3","15","1","3","2","21",
"4","15","1","5","0","21",
"5","20","0","2","0","22",
"6","21","1","1","0","23",
"7","11","0","2","0","13",
"8","15","3","4","0","22",
"9","15","0","1","0","16",
"10","18","1","1","0","20",
"11","10","0","0","0","10",
"12","9","0","0","0","9",
"13","17","0","2","1","20",
"14","23","0","1","1","25",
"15","13","2","1","0","16",
"16","21","0","0","0","21",
"17","19","0","2","0","21",
"18 to 20","59","2","2","2","65",
"21 to 24","96","1","7","0","104",
"25 & over","627","26","44","6","703",
"Total","1080","40","91","12","1223",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
