"Easy Access to Juvenile Populations"
"Table:    Sublette County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2012"

"counts","White","Black","American Indian","Asian","Total",
"0","138","1","0","0","139",
"1","152","2","0","0","154",
"2","124","1","0","0","125",
"3","143","6","1","1","151",
"4","151","2","3","0","156",
"5","135","3","3","0","141",
"6","133","2","1","1","137",
"7","130","2","2","1","135",
"8","132","2","2","4","140",
"9","137","2","1","2","142",
"10","127","1","2","14","144",
"11","120","0","1","15","136",
"12","132","3","2","4","141",
"13","128","1","2","1","132",
"14","139","2","2","1","144",
"15","123","1","2","1","127",
"16","122","2","2","0","126",
"17","138","2","4","2","146",
"18 to 20","303","12","9","2","326",
"21 to 24","410","6","4","10","430",
"25 & over","6927","93","65","57","7142",
"Total","10044","146","108","116","10414",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
