"Easy Access to Juvenile Populations"
"Table:    Sublette County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Asian"

"counts","Asian","Total",
"0","2","2",
"1","2","2",
"2","3","3",
"3","1","1",
"4","0","0",
"5","0","0",
"6","0","0",
"7","1","1",
"8","0","0",
"9","3","3",
"10","0","0",
"11","1","1",
"12","2","2",
"13","1","1",
"14","12","12",
"15","15","15",
"16","3","3",
"17","1","1",
"18 to 20","1","1",
"21 to 24","4","4",
"25 & over","61","61",
"Total","113","113",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
