"Easy Access to Juvenile Populations"
"Table:    Sweetwater County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 1996"

"counts","White","Black","American Indian","Asian","Total",
"0","532","8","5","2","547",
"1","553","5","6","3","567",
"2","532","7","8","1","548",
"3","537","12","9","1","559",
"4","535","4","6","1","546",
"5","541","5","9","3","558",
"6","635","10","8","1","654",
"7","621","5","14","5","645",
"8","632","3","5","2","642",
"9","691","6","5","4","706",
"10","678","4","12","1","695",
"11","724","3","9","3","739",
"12","752","6","7","5","770",
"13","826","5","11","2","844",
"14","784","7","10","1","802",
"15","760","11","7","1","779",
"16","807","10","8","6","831",
"17","789","4","10","5","808",
"18 to 20","1825","15","15","22","1877",
"21 to 24","1782","19","20","18","1839",
"25 & over","22796","162","190","153","23301",
"Total","38332","311","374","240","39257",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
