"Easy Access to Juvenile Populations"
"Table:    Sweetwater County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Non Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","435","12","8","13","468",
"1","487","13","4","6","510",
"2","467","14","5","5","491",
"3","500","11","5","2","518",
"4","432","12","8","2","454",
"5","464","9","5","5","483",
"6","488","15","9","5","517",
"7","539","12","6","1","558",
"8","531","16","7","6","560",
"9","528","9","10","2","549",
"10","571","9","8","1","589",
"11","503","11","12","4","530",
"12","476","11","7","9","503",
"13","497","6","11","7","521",
"14","497","12","7","4","520",
"15","490","9","7","7","513",
"16","496","8","6","6","516",
"17","496","11","5","3","515",
"18 to 20","1258","25","21","20","1324",
"21 to 24","1625","47","28","25","1725",
"25 & over","23824","363","258","256","24701",
"Total","35604","635","437","389","37065",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
