"Easy Access to Juvenile Populations"
"Table:    Sweetwater County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","108","2","7","0","117",
"1","117","7","1","1","126",
"2","119","2","21","2","144",
"3","147","4","3","7","161",
"4","107","5","5","1","118",
"5","152","1","6","2","161",
"6","149","4","7","1","161",
"7","156","5","8","5","174",
"8","151","2","6","3","162",
"9","149","4","5","1","159",
"10","140","3","4","1","148",
"11","129","3","4","0","136",
"12","162","2","3","1","168",
"13","139","6","2","3","150",
"14","120","3","6","0","129",
"15","106","4","0","2","112",
"16","115","2","5","1","123",
"17","94","2","6","0","102",
"18 to 20","315","7","18","4","344",
"21 to 24","371","11","12","2","396",
"25 & over","3523","65","187","34","3809",
"Total","6569","144","316","71","7100",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
