"Easy Access to Juvenile Populations"
"Table:    Teton County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 1997"

"counts","White","Black","American Indian","Asian","Total",
"0","187","0","1","2","190",
"1","176","2","0","3","181",
"2","181","0","1","0","182",
"3","182","0","0","1","183",
"4","161","0","2","0","163",
"5","172","0","3","0","175",
"6","166","0","0","0","166",
"7","177","3","1","0","181",
"8","189","0","0","2","191",
"9","184","1","0","0","185",
"10","207","1","1","0","209",
"11","208","0","0","0","208",
"12","199","0","0","0","199",
"13","207","0","0","0","207",
"14","204","0","2","2","208",
"15","193","1","1","2","197",
"16","213","0","3","0","216",
"17","194","0","0","0","194",
"18 to 20","454","0","6","0","460",
"21 to 24","1010","3","3","7","1023",
"25 & over","11156","5","59","44","11264",
"Total","16020","16","83","63","16182",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
