"Easy Access to Juvenile Populations"
"Table:    Teton County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = White"

"counts","White","Total",
"0","226","226",
"1","239","239",
"2","237","237",
"3","234","234",
"4","236","236",
"5","246","246",
"6","267","267",
"7","266","266",
"8","249","249",
"9","272","272",
"10","249","249",
"11","233","233",
"12","221","221",
"13","215","215",
"14","211","211",
"15","195","195",
"16","207","207",
"17","186","186",
"18 to 20","456","456",
"21 to 24","824","824",
"25 & over","16924","16924",
"Total","22393","22393",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
