"Easy Access to Juvenile Populations"
"Table:    Uinta County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2000"

"counts","White","Black","American Indian","Asian","Total",
"0","307","1","2","0","310",
"1","317","1","5","1","324",
"2","312","1","2","0","315",
"3","305","0","1","2","308",
"4","346","5","2","3","356",
"5","295","2","5","2","304",
"6","337","1","2","2","342",
"7","306","4","5","3","318",
"8","316","1","1","0","318",
"9","339","0","4","3","346",
"10","396","3","3","2","404",
"11","353","1","3","3","360",
"12","402","2","5","1","410",
"13","393","0","3","1","397",
"14","414","0","7","1","422",
"15","411","1","12","0","424",
"16","461","0","3","2","466",
"17","435","0","5","3","443",
"18 to 20","872","2","20","2","896",
"21 to 24","852","0","8","5","865",
"25 & over","11175","15","104","44","11338",
"Total","19344","40","202","80","19666",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
