"Easy Access to Juvenile Populations"
"Table:    Uinta County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Female"

"counts","White","Black","American Indian","Asian","Total",
"0","138","5","2","1","146",
"1","137","5","6","1","149",
"2","175","5","5","0","185",
"3","153","5","3","5","166",
"4","165","3","2","0","170",
"5","140","7","6","1","154",
"6","166","4","3","3","176",
"7","156","3","4","1","164",
"8","174","2","3","1","180",
"9","163","2","1","3","169",
"10","164","4","2","5","175",
"11","174","1","5","1","181",
"12","174","2","4","0","180",
"13","144","1","0","2","147",
"14","154","2","2","2","160",
"15","132","2","3","0","137",
"16","153","1","2","0","156",
"17","145","0","0","1","146",
"18 to 20","314","6","7","4","331",
"21 to 24","422","9","9","3","443",
"25 & over","6362","41","93","57","6553",
"Total","9905","110","162","91","10268",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
