"Easy Access to Juvenile Populations"
"Table:    Uinta County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = White"

"counts","White","Total",
"0","285","285",
"1","281","281",
"2","337","337",
"3","322","322",
"4","319","319",
"5","312","312",
"6","346","346",
"7","331","331",
"8","356","356",
"9","339","339",
"10","351","351",
"11","324","324",
"12","351","351",
"13","320","320",
"14","333","333",
"15","309","309",
"16","320","320",
"17","316","316",
"18 to 20","643","643",
"21 to 24","843","843",
"25 & over","12739","12739",
"Total","20077","20077",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
