"Easy Access to Juvenile Populations"
"Table:    Uinta County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","5","5",
"1","10","10",
"2","10","10",
"3","7","7",
"4","3","3",
"5","7","7",
"6","6","6",
"7","4","4",
"8","3","3",
"9","4","4",
"10","3","3",
"11","6","6",
"12","7","7",
"13","2","2",
"14","4","4",
"15","4","4",
"16","5","5",
"17","2","2",
"18 to 20","13","13",
"21 to 24","16","16",
"25 & over","169","169",
"Total","290","290",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
