"Easy Access to Juvenile Populations"
"Table:    Uinta County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Non Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","259","5","3","2","269",
"1","255","8","8","1","272",
"2","306","7","2","1","316",
"3","275","7","4","6","292",
"4","282","5","1","2","290",
"5","269","8","2","3","282",
"6","298","4","2","6","310",
"7","289","2","1","3","295",
"8","315","4","2","2","323",
"9","296","5","2","3","306",
"10","311","4","1","7","323",
"11","292","2","1","2","297",
"12","299","2","3","1","305",
"13","290","2","0","4","296",
"14","293","3","2","3","301",
"15","275","5","1","1","282",
"16","289","3","4","1","297",
"17","287","3","1","3","294",
"18 to 20","579","8","8","7","602",
"21 to 24","766","14","12","6","798",
"25 & over","11868","96","91","95","12150",
"Total","18393","197","151","159","18900",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
