"Easy Access to Juvenile Populations"
"Table:    Uinta County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","26","3","2","0","31",
"1","26","2","2","0","30",
"2","31","1","8","0","40",
"3","47","1","3","2","53",
"4","37","2","2","0","41",
"5","43","5","5","1","54",
"6","48","1","4","0","53",
"7","42","1","3","0","46",
"8","41","0","1","0","42",
"9","43","1","2","0","46",
"10","40","1","2","0","43",
"11","32","1","5","0","38",
"12","52","0","4","1","57",
"13","30","0","2","0","32",
"14","40","0","2","0","42",
"15","34","0","3","0","37",
"16","31","0","1","0","32",
"17","29","0","1","1","31",
"18 to 20","64","0","5","1","70",
"21 to 24","77","5","4","0","86",
"25 & over","871","13","78","7","969",
"Total","1684","37","139","13","1873",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
