"Easy Access to Juvenile Populations"
"Table:    Washakie County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2001"

"counts","White","Black","American Indian","Asian","Total",
"0","103","0","0","2","105",
"1","80","0","1","1","82",
"2","99","0","2","1","102",
"3","99","1","0","0","100",
"4","92","1","0","0","93",
"5","83","1","2","1","87",
"6","97","2","1","1","101",
"7","83","0","1","2","86",
"8","95","1","1","0","97",
"9","126","2","1","1","130",
"10","115","0","0","0","115",
"11","145","0","1","0","146",
"12","122","0","1","1","124",
"13","117","1","1","4","123",
"14","134","0","3","1","138",
"15","149","0","1","1","151",
"16","164","3","3","0","170",
"17","164","1","1","1","167",
"18 to 20","295","2","3","0","300",
"21 to 24","231","0","0","0","231",
"25 & over","5340","5","37","38","5420",
"Total","7933","20","60","55","8068",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
