"Easy Access to Juvenile Populations"
"Table:    Washakie County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","2","2",
"1","1","1",
"2","4","4",
"3","2","2",
"4","3","3",
"5","6","6",
"6","3","3",
"7","3","3",
"8","2","2",
"9","2","2",
"10","1","1",
"11","0","0",
"12","1","1",
"13","2","2",
"14","0","0",
"15","0","0",
"16","1","1",
"17","2","2",
"18 to 20","3","3",
"21 to 24","7","7",
"25 & over","51","51",
"Total","96","96",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
