"Easy Access to Juvenile Populations"
"Table:    Weston County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 1996"

"counts","White","Black","American Indian","Asian","Total",
"0","62","0","2","0","64",
"1","75","0","0","0","75",
"2","74","0","4","0","78",
"3","76","0","1","0","77",
"4","80","0","3","0","83",
"5","75","0","0","0","75",
"6","87","0","0","0","87",
"7","85","0","0","0","85",
"8","84","0","0","0","84",
"9","97","0","5","0","102",
"10","105","0","4","0","109",
"11","128","0","2","0","130",
"12","112","0","0","0","112",
"13","136","0","0","0","136",
"14","115","0","0","0","115",
"15","134","0","0","0","134",
"16","120","0","0","0","120",
"17","119","0","3","0","122",
"18 to 20","247","0","15","0","262",
"21 to 24","229","0","6","0","235",
"25 & over","4450","0","29","4","4483",
"Total","6690","0","74","4","6768",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
